Character,CHR/million,logCHR,logCHR-CD
饭,214.28,4.0016,3.5662
林,213.3,3.9996,3.4
换,213.25,3.9995,3.619
及,213.04,3.9991,3.6098
船,213.04,3.9991,3.2643
争,212.61,3.9982,3.5402
猜,212.48,3.998,3.5889
洛,212.42,3.9978,3.3204
级,211.2,3.9953,3.5721
姆,210.67,3.9942,3.2117
雷,210.24,3.9933,3.2183
刻,210.16,3.9932,3.6062
建,208.62,3.99,3.5889
团,208.11,3.9889,3.5294
王,207.79,3.9882,3.3688
惊,207,3.9866,3.6138
迎,204.71,3.9818,3.5396
段,204.46,3.9812,3.6095
标,204.35,3.981,3.5494
检,202.66,3.9774,3.4929
各,202.6,3.9773,3.5262
义,202.56,3.9772,3.587
百,202.15,3.9763,3.534
民,202.13,3.9763,3.4597
功,201.79,3.9755,3.5835
唯,201.77,3.9755,3.6316
夜,201.49,3.9749,3.5686
示,200.96,3.9737,3.5964
靠,200.91,3.9736,3.5931
释,199.74,3.9711,3.5827
脸,199.61,3.9708,3.5802
引,198.48,3.9683,3.592
择,197.82,3.9669,3.5741
疑,197.67,3.9666,3.5664
赶,197.52,3.9662,3.6009
俩,197.31,3.9658,3.5492
独,196.47,3.9639,3.5917
冷,196.39,3.9637,3.5658
妹,196.26,3.9635,3.356
楼,195.9,3.9627,3.512
皮,195.55,3.9619,3.5027
存,195.45,3.9617,3.5645
练,194.81,3.9602,3.4306
娘,194.59,3.9598,3.4837
顿,194.4,3.9593,3.4374
断,194.02,3.9585,3.5984
设,193.33,3.9569,3.5407
松,193.23,3.9567,3.568
博,192.84,3.9558,3.316
置,192.33,3.9547,3.5771
逃,192.33,3.9547,3.5224
观,191.52,3.9528,3.5436
痛,191.35,3.9525,3.5576
狂,191.09,3.9519,3.5771
足,190.37,3.9502,3.6119
码,190.13,3.9497,3.5111
恐,190.11,3.9496,3.5534
吉,189.79,3.9489,3.2584
历,189.06,3.9472,3.5539
慢,188.08,3.945,3.4935
妻,188.06,3.9449,3.4763
山,187.42,3.9434,3.4229
普,187.38,3.9433,3.4301
价,187.16,3.9429,3.5561
元,187.12,3.9428,3.4387
角,186.48,3.9413,3.5592
怀,186.29,3.9408,3.5606
床,185.86,3.9398,3.525
奥,185.5,3.939,3.2307
模,184.54,3.9367,3.4358
验,184.5,3.9366,3.5085
索,184.28,3.9361,3.4437
街,183.58,3.9344,3.4932
艾,183.11,3.9333,3.0888
呼,182.77,3.9325,3.547
祝,182.13,3.931,3.5489
料,182.04,3.9308,3.5626
休,181.55,3.9296,3.558
灵,180.87,3.928,3.4685
狱,180.18,3.9263,3.4234
剧,179.48,3.9246,3.4339
乱,178.99,3.9235,3.5868
展,178.73,3.9228,3.5456
板,178.35,3.9219,3.5156
承,177.66,3.9202,3.5691
则,177.45,3.9197,3.5723
顾,177.15,3.919,3.5723
深,176.58,3.9176,3.5711
产,176.43,3.9172,3.5244
洗,175.49,3.9149,3.5228
政,174.76,3.9131,3.4059
迷,174.46,3.9123,3.546
领,174.42,3.9122,3.5093
午,174.36,3.9121,3.5449
纳,174.01,3.9112,3.303
谎,173.86,3.9108,3.4972
具,173.74,3.9105,3.549
退,173.37,3.9096,3.5209
福,172.35,3.907,3.4447
习,171.81,3.9057,3.5321
秘,171.71,3.9054,3.51
奶,171.58,3.9051,3.3522
遇,171.41,3.9047,3.5729
职,171.39,3.9046,3.5175
架,171.28,3.9043,3.4983
即,171.05,3.9037,3.5721
挺,170.88,3.9033,3.5373
史,170.83,3.9032,3.4071
负,170.36,3.902,3.5598
千,169.81,3.9006,3.5097
脱,169.62,3.9001,3.5617
瑞,169.45,3.8997,3.0817
背,169.3,3.8993,3.5605
仅,169.23,3.8991,3.4778
追,168.83,3.8981,3.5275
伦,168.74,3.8978,3.2646
炸,168.36,3.8969,3.3265
资,168.23,3.8965,3.5002
画,168.16,3.8964,3.3775
踪,168.14,3.8963,3.4201
射,167.93,3.8958,3.4103
弃,167.48,3.8946,3.5434
傻,167.42,3.8944,3.529
藏,167.08,3.8935,3.5109
屁,166.63,3.8924,3.4315
瞧,166.52,3.8921,3.4113
修,166.5,3.892,3.4601
尸,166.22,3.8913,3.3377
闻,166.22,3.8913,3.5124
共,165.86,3.8904,3.5569
懂,165.62,3.8897,3.5281
蒂,164.96,3.888,3.0745
危,164.71,3.8873,3.5302
专,164.64,3.8872,3.5473
呆,164.64,3.8872,3.518
介,164.3,3.8863,3.5575
萨,164.17,3.8859,3.2718
魔,163.21,3.8834,3.3224
急,162.34,3.881,3.5489
碰,162.27,3.8809,3.5504
甚,162.25,3.8808,3.5619
糕,161.89,3.8798,3.5206
苦,161.46,3.8787,3.5302
念,160.76,3.8768,3.5338
适,160.69,3.8766,3.5583
华,160.69,3.8766,3.3852
冲,160.56,3.8763,3.5095
骗,160.56,3.8763,3.5028
厌,160.52,3.8762,3.5352
型,160.16,3.8752,3.495
麦,160.12,3.8751,3.2122
似,159.97,3.8747,3.5626
红,159.8,3.8742,3.4793
值,159.24,3.8727,3.5583
脚,159.13,3.8724,3.5205
六,158.81,3.8715,3.5006
谋,158.71,3.8712,3.3988
套,158.17,3.8698,3.5284
凯,157.36,3.8675,3.0216
众,157.34,3.8675,3.4487
预,157.08,3.8668,3.5176
际,157.02,3.8666,3.523
咱,156.96,3.8664,3.2373
波,156.72,3.8658,3.3332
卫,156.42,3.8649,3.3976
聊,156.34,3.8647,3.4803
养,156.1,3.864,3.498
导,155.31,3.8618,3.4898
虑,155.21,3.8615,3.5347
私,154.84,3.8605,3.5302
戴,154.67,3.86,3.4009
毁,154.24,3.8588,3.5042
鱼,154.22,3.8588,3.3528
滚,153.99,3.8581,3.4434
志,153.78,3.8575,3.4362
杂,153.71,3.8573,3.4847
居,153.65,3.8572,3.5269
词,153.24,3.856,3.4627
食,153.03,3.8554,3.4823
诺,152.39,3.8536,3.3255
读,152.39,3.8536,3.4646
误,151.53,3.8511,3.5421
撒,151.47,3.851,3.4558
突,150.38,3.8478,3.5491
牛,150.36,3.8478,3.4168
馆,150.08,3.847,3.4121
规,150.08,3.847,3.4953
陪,149.55,3.8454,3.4771
州,149.38,3.8449,3.3833
肉,149.36,3.8448,3.4609
形,149.31,3.8447,3.5143
耶,148.74,3.843,3.2975
凶,148.74,3.843,3.2617
森,148.48,3.8423,3.2271
商,147.9,3.8406,3.4902
纪,147.65,3.8399,3.4857
浪,147.54,3.8395,3.4888
石,147.22,3.8386,3.3655
顺,146.96,3.8378,3.5588
举,146.3,3.8359,3.5122
按,145.83,3.8345,3.5111
旅,144.3,3.8299,3.435
努,143.7,3.8281,3.4915
坚,143.4,3.8272,3.519
测,143.23,3.8267,3.4186
免,143.19,3.8265,3.4735
喔,143.04,3.8261,3.1838
丝,142.99,3.8259,3.3261
辆,142.42,3.8242,3.3893
乔,142.01,3.823,2.989
防,141.76,3.8222,3.4423
句,141.76,3.8222,3.54
印,141.52,3.8214,3.4539
恋,141.5,3.8214,3.3632
玛,140.84,3.8193,3.1062
